date,RSAFS,RSFSXMV,RSHPCS,RSGASS,RSCCAS,RSSGHBMS,RSGMS,RSDSELD,RSMSR,RSNSR,RSFSDP,RSXFS,break_inflate10,cpi,employ_rate,indust_prod,mortgage_rate30,Spcpi,int_trade,year,month
1/1/2003,295248,225575,15441,23073,14565,5794,37740,17807,8565,16434,28018,267230,1.754285714,0.442233278,71.59030104,91.2395,5.916,2.7875531,97491000000,2003,1
2/1/2003,291167,224632,15534,23885,14142,5576,38030,17670,8372,16933,27979,263188,1.912631579,0.770500826,71.52052557,91.3384,5.8425,2.7046594,93154000000,2003,2
3/1/2003,296325,227697,15677,23968,14465,5660,38391,17763,8405,16764,28505,267820,1.862857143,0.60076461,71.39622472,91.069,5.745,2.6277872,1.06E+11,2003,3
4/1/2003,295600,226020,15705,22581,14434,5709,38321,17687,8359,16593,28403,267197,1.774761905,-0.217155266,71.37855602,90.4913,5.8125,2.4593491,1.04E+11,2003,4
5/1/2003,296410,226750,15791,21810,14651,5748,38483,17838,8525,16722,29048,267362,1.660952381,-0.163220892,71.21306064,90.4697,5.484,2.3483407,1.02E+11,2003,5
6/1/2003,299626,229301,15934,21777,14894,5908,38866,17912,8537,16938,29230,270396,1.612380952,0.108991826,71.21528588,90.5899,5.23,2.27155,1.04E+11,2003,6
7/1/2003,302747,231698,16182,22196,15141,5808,39404,18140,8497,17049,29395,273352,1.865909091,0.108873163,70.98995251,91.0614,5.6325,2.237208,1.08E+11,2003,7
8/1/2003,307809,234890,16345,23073,15089,6132,40085,18207,8618,17312,29844,277965,2.124761905,0.380641653,71.00284487,90.8452,6.264,2.1655338,1.02E+11,2003,8
9/1/2003,305933,234749,16339,23214,15175,5954,39896,18157,8442,17595,29503,276430,2.088095238,0.325027086,70.91933054,91.4453,6.1475,2.1842475,1.08E+11,2003,9
10/1/2003,304809,234992,16434,22714,15067,5841,39649,17889,8591,17778,30045,274764,2.214090909,-0.107991361,71.0562542,91.5595,5.952,2.1611133,1.17E+11,2003,10
11/1/2003,308527,236789,16500,23472,15338,6011,39945,17810,8530,17881,30229,278298,2.336111111,-0.27027027,71.13727222,92.1763,5.9325,2.0365931,1.06E+11,2003,11
12/1/2003,307407,237304,16648,23994,15456,6013,40084,17791,8576,17742,29795,277612,2.284090909,-0.108401084,71.11806807,92.2532,5.876,1.976213,1.09E+11,2003,12
1/1/2004,309254,239984,16287,24889,15513,6087,40436,17800,8665,18275,30341,278913,2.263,0.488334238,71.27802136,92.4067,5.7125,1.9607229,1.04E+11,2004,1
2/1/2004,311393,240300,16133,25256,15687,6093,40519,17871,8481,18566,30461,280932,2.322105263,0.539956803,71.20857649,92.9687,5.635,2.0481367,1.05E+11,2004,2
3/1/2004,316912,244775,16526,25679,15984,6067,41079,18165,8552,18072,30703,286209,2.361304348,0.644468314,71.04987551,92.6,5.445,2.1370611,1.23E+11,2004,3
4/1/2004,313512,243552,16476,25518,15567,5941,40662,17752,8685,18442,30560,282952,2.444761905,0.320170758,71.18273755,92.9761,5.83,2.2577613,1.19E+11,2004,4
5/1/2004,318964,246143,16462,27011,15736,5985,41332,17921,8869,18351,30712,288252,2.6255,0.585106383,71.13162713,93.6446,6.27,2.2378638,1.18E+11,2004,5
6/1/2004,314958,245967,16570,27050,15555,6017,40756,17695,8446,18649,30825,284133,2.587619048,0.317292438,71.10718812,92.9303,6.2875,2.3794884,1.28E+11,2004,6
7/1/2004,318549,247311,16554,26745,15645,6124,41197,17888,8554,18927,31191,287358,2.473809524,-0.158144439,71.30393312,93.6109,6.056,2.2638524,1.23E+11,2004,7
8/1/2004,318977,247612,16610,26552,15660,6192,41323,17896,8567,19178,31036,287941,2.421818182,0.05279831,71.26523753,93.6958,5.8675,2.2577292,1.27E+11,2004,8
9/1/2004,324569,249840,16635,27161,15764,6111,41555,17943,8596,19472,31430,293139,2.326666667,0.211081794,71.15240844,93.7958,5.754,2.240201,1.26E+11,2004,9
10/1/2004,326740,252882,16739,28656,16055,6094,42042,18016,8677,19675,31625,295115,2.368,0.526592944,71.22236285,94.6226,5.7225,2.2372194,1.35E+11,2004,10
11/1/2004,327836,254429,16813,29349,16044,6140,42179,17942,8877,19789,31659,296177,2.518,0.052383447,71.36334258,94.8491,5.73,2.3012131,1.35E+11,2004,11
12/1/2004,331874,256487,16882,29046,16183,6122,42656,18137,8914,19942,32111,299763,2.562272727,-0.366492147,71.30009354,95.5841,5.752,2.3138859,1.27E+11,2004,12
1/1/2005,328696,256613,17116,28375,16125,6192,42556,18034,8784,20237,32000,296696,2.498,0.21019443,71.30858847,95.9285,5.71,2.3158903,1.23E+11,2005,1
2/1/2005,333026,259253,17292,29015,16674,6269,43183,18173,8949,20175,32469,300557,2.534210526,0.576822234,71.2243995,96.6287,5.6275,2.2862449,1.22E+11,2005,2
3/1/2005,333581,259434,17245,29498,16293,6137,42949,17818,8890,20506,32273,301308,2.710454545,0.782064651,71.26674162,96.4907,5.928,2.2461526,1.35E+11,2005,3
4/1/2005,336583,262934,17350,30009,16636,6318,43601,18153,8839,20741,32823,303760,2.635238095,0.672529747,71.43594406,96.6809,5.855,2.2397223,1.35E+11,2005,4
5/1/2005,334522,261297,17413,29140,16514,6232,43423,17808,8932,20568,32746,301776,2.490952381,-0.102774923,71.52919517,96.7925,5.72,2.3579552,1.36E+11,2005,5
6/1/2005,343998,264359,17392,29889,16824,6135,44354,18263,8879,21024,33009,310989,2.323636364,0.051440329,71.49490588,97.19,5.582,2.1993552,1.41E+11,2005,6
7/1/2005,346576,264971,17635,30976,16450,6239,44017,17858,8927,20988,33056,313520,2.301,0.462724936,71.62719142,96.8981,5.695,2.3010794,1.37E+11,2005,7
8/1/2005,343307,269520,17548,33399,16759,6274,44214,17822,8881,21767,33261,310046,2.373478261,0.511770727,71.82585969,97.2223,5.82,2.2644059,1.46E+11,2005,8
9/1/2005,343956,273329,17707,36116,16450,6155,44502,17557,9010,21951,33283,310673,2.5,1.221995927,71.68737403,95.3463,5.774,2.3340762,1.46E+11,2005,9
10/1/2005,344097,276244,17742,35911,17120,6377,45267,18070,9086,22255,33618,310479,2.521,0.201207243,71.69166084,96.4981,6.065,2.3253024,1.56E+11,2005,10
11/1/2005,347325,274114,17859,33185,17142,6287,45226,18048,9151,22461,34022,313303,2.4715,-0.803212851,71.55668242,97.5646,6.33,2.4316658,1.50E+11,2005,11
12/1/2005,347405,274073,18005,33154,17207,6462,44778,17765,9044,22827,33932,313473,2.343809524,-0.4048583,71.62654856,98.0222,6.272,2.4690335,1.44E+11,2005,12
1/1/2006,357331,280574,18000,34298,17331,6735,45710,18107,9620,22574,34983,322348,2.41,0.762195122,71.68959915,98.2044,6.145,2.4510191,1.45E+11,2006,1
2/1/2006,354706,280598,18124,34174,17384,6629,45774,17981,9512,23068,34535,320171,2.52,0.201714574,71.77447655,98.2404,6.2525,2.4992554,1.35E+11,2006,2
3/1/2006,355665,281056,18222,34195,17385,6610,45635,17888,9398,23677,34796,320869,2.526521739,0.55359839,71.84186171,98.4742,6.324,2.581219,1.54E+11,2006,3
4/1/2006,357423,282525,18294,35646,17542,6580,46048,17932,9507,23305,34862,322561,2.581578947,0.850850851,71.78919938,98.7765,6.5075,2.6806926,1.47E+11,2006,4
5/1/2006,356704,282623,18466,36159,17492,6503,45806,17757,9475,23794,34910,321794,2.664090909,0.496277916,71.87020667,98.7884,6.5975,2.7839595,1.59E+11,2006,5
6/1/2006,357879,282510,18584,36228,17701,6524,45956,17847,9324,23762,34695,323184,2.576818182,0.197530864,72.00719053,99.1069,6.682,3.0344298,1.60E+11,2006,6
7/1/2006,359006,283042,18640,36963,17691,6461,45838,17584,9287,23638,34802,324204,2.5805,0.295712173,72.00609721,99.0357,6.7625,3.0939988,1.58E+11,2006,7
8/1/2006,360691,285504,18757,37696,17635,6412,46043,17490,9305,24225,35367,325324,2.585652174,0.196560197,72.09809497,99.4583,6.524,3.2251144,1.68E+11,2006,8
9/1/2006,358961,284382,18933,34935,18256,6690,46712,17826,9378,24206,35725,323236,2.3995,-0.490436488,72.05045513,99.2544,6.4025,3.212012,1.58E+11,2006,9
10/1/2006,358462,283015,19044,32912,18126,6589,46679,17657,9501,24349,35784,322678,2.317619048,-0.542138985,72.24154986,99.1514,6.3575,3.2911246,1.64E+11,2006,10
11/1/2006,359266,283202,19276,33322,17910,6461,46800,17609,9563,24259,35923,323343,2.303333333,-0.148662042,72.17787164,99.0974,6.24,3.1482614,1.57E+11,2006,11
12/1/2006,363730,288292,19385,34895,18497,6566,47344,17713,9876,24206,36881,326849,2.314,0.148883375,72.32395439,100.1117,6.135,3.1241583,1.49E+11,2006,12
1/1/2007,363616,288217,19423,34244,18493,6489,48034,18064,9629,24243,36435,327181,2.322857143,0.305252725,72.13950335,99.7226,6.2175,3.1457342,1.51E+11,2007,1
2/1/2007,364006,288165,19401,34932,18144,6494,47293,17586,9489,25505,36053,327953,2.362105263,0.535036756,71.9761166,100.6919,6.285,3.161558,1.40E+11,2007,2
3/1/2007,367158,291686,19540,35999,18643,6779,48132,17798,9771,25034,36579,330579,2.387727273,0.910569585,72.01818858,100.8857,6.156,3.1090014,1.61E+11,2007,3
4/1/2007,366187,289982,19572,36350,18189,6640,47679,17480,9586,25303,36627,329560,2.438095238,0.649616269,71.70548961,101.5777,6.18,2.9667028,1.57E+11,2007,4
5/1/2007,370934,293748,19650,37996,18545,6805,47887,17521,9843,25271,36732,334202,2.372727273,0.611071867,71.75388273,101.6481,6.262,2.783324,1.63E+11,2007,5
6/1/2007,368154,293360,19880,37310,18388,6850,47852,17328,9988,25462,37078,331076,2.411904762,0.193797518,71.76906947,101.6741,6.6575,2.6305791,1.64E+11,2007,6
7/1/2007,369614,294682,19831,36963,18522,6936,48412,17559,9759,25970,37272,332342,2.367619048,-0.025437721,71.7336101,101.5627,6.695,2.5346411,1.67E+11,2007,7
8/1/2007,371358,294809,20014,37223,18491,6780,48704,17527,9740,25826,37189,334169,2.236521739,-0.183390223,71.56721976,101.7751,6.572,2.4685402,1.71E+11,2007,8
9/1/2007,372869,295693,20132,38210,18412,6749,48288,17260,9783,26112,37427,335442,2.264210526,0.275590741,71.6966198,102.0279,6.3825,2.4838823,1.63E+11,2007,9
10/1/2007,375289,297672,19988,39307,18431,6834,48540,17292,9620,26397,37759,337530,2.325454545,0.213919133,71.57865066,101.7289,6.375,2.5033248,1.82E+11,2007,10
11/1/2007,378860,302939,19938,41985,18759,6940,49047,17346,9632,27065,37727,341133,2.3805,0.593961787,71.77461335,102.3185,6.208,2.6563697,1.76E+11,2007,11
12/1/2007,374298,300953,19825,41593,18570,6756,49302,17199,9688,26268,38109,336189,2.3085,-0.067086313,71.55160633,102.3074,6.095,2.7127336,1.63E+11,2007,12
1/1/2008,375236,301402,20120,42423,18542,6818,48951,16813,10074,26019,37824,337412,2.275238095,0.497057647,71.68004844,102.1686,5.758,2.7470404,1.68E+11,2008,1
2/1/2008,371833,299627,20279,42504,18280,6751,48927,16822,9380,26101,37249,334584,2.3325,0.290411218,71.4369118,101.7673,5.9175,2.6165653,1.65E+11,2008,2
3/1/2008,372745,300971,20288,43044,18338,6733,48990,16697,9355,26530,37552,335193,2.419,0.866821293,71.40616088,101.3986,5.97,2.6887664,1.71E+11,2008,3
4/1/2008,372572,302520,20172,42933,18384,6809,49433,16708,9277,27243,37729,334843,2.312727273,0.606477839,71.42763709,100.7238,5.9175,2.7251103,1.82E+11,2008,4
5/1/2008,376036,306893,20536,44344,18642,6949,50375,16916,9310,27526,38089,337947,2.42,0.842088603,71.20376424,100.1399,6.036,2.7937419,1.83E+11,2008,5
6/1/2008,376455,309294,20497,46547,18708,6879,50762,17059,9308,27403,38144,338311,2.470952381,1.007699693,71.12691593,99.9141,6.32,2.9376962,1.90E+11,2008,6
7/1/2008,375038,310641,20640,46813,18635,6858,50582,16779,9583,27823,38267,336771,2.438636364,0.525101113,70.9376369,99.4943,6.426,3.0142542,2.03E+11,2008,7
8/1/2008,372284,307299,20620,45645,18524,6931,50131,16645,9163,27374,38239,334045,2.20952381,-0.399156226,70.71813509,97.9367,6.4775,3.0845059,1.90E+11,2008,8
